iter	Passed	Remaining
892	1893	226
893	1895	224
894	1900	222
895	1902	220
896	1904	218
897	1905	216
898	1907	214
899	1908	212
900	1910	209
901	1914	208
902	1916	205
903	1917	203
904	1919	201
905	1920	199
906	1922	197
907	1923	194
908	1924	192
909	1929	190
910	1932	188
911	1933	186
912	1935	184
913	1936	182
914	1937	180
915	1939	177
916	1940	175
917	1944	173
918	1946	171
919	1947	169
920	1949	167
921	1950	164
922	1951	162
923	1952	160
924	1953	158
925	1954	156
926	1956	154
927	1959	152
928	1961	149
929	1962	147
930	1964	145
931	1966	143
932	1968	141
933	1970	139
934	1975	137
935	1978	135
936	1981	133
937	1984	131
938	1987	129
939	1991	127
940	1994	125
941	1997	122
942	2000	120
943	2006	119
944	2009	116
945	2012	114
946	2015	112
947	2022	110
948	2026	108
949	2030	106
950	2036	104
951	2039	102
952	2043	100
953	2046	98
954	2052	96
955	2056	94
956	2059	92
957	2062	90
958	2068	88
959	2072	86
960	2075	84
961	2080	82
962	2084	80
963	2087	77
964	2091	75
965	2096	73
966	2100	71
967	2103	69
968	2107	67
969	2112	65
970	2116	63
971	2119	61
972	2122	58
973	2129	56
974	2133	54
975	2136	52
976	2142	50
977	2146	48
978	2149	46
979	2152	43
980	2158	41
981	2162	39
982	2165	37
983	2168	35
984	2175	33
985	2179	30
986	2182	28
987	2189	26
988	2193	24
989	2196	22
990	2199	19
991	2205	17
992	2208	15
993	2211	13
994	2214	11
995	2221	8
996	2224	6
997	2227	4
998	2231	2
999	2236	0
